# 43 windows of real detrended PPG, captured from the wrist overnight 2026-08-08 --
# the first night the capture path reached the phone (a u8 sample count could not
# express 256, so every earlier window was discarded as malformed).
# truth_bpm is the dominant spectral peak in 30-214 bpm, computed independently of
# the autocorrelation the estimator uses, so it cannot rubber-stamp the estimator's
# own mistakes. It is not an ECG; treat a disagreement as a question, not a verdict.
# Samples are int8, already detrended and scaled by the firmware.
time,truth_bpm,samples
2026-08-08 03:59:42,58,-16 -28 -22 -38 -68 -66 -66 -66 -70 -86 -82 -85 -77 -83 -75 -57 -61 -63 -55 -47 -33 -43 -27 -17 -11 -17 -33 -28 -34 -36 -48 -42 -44 -36 -38 -34 -34 -26 -22 -12 -16 -14 -7 11 7 7 21 27 31 45 39 27 15 21 -3 7 9 11 8 12 18 20 26 30 44 28 42 34 52 58 62 72 68 73 81 87 79 67 43 39 31 37 27 13 25 11 19 25 12 24 18 32 22 32 46 44 44 44 62 56 66 66 64 47 35 17 -5 -7 -23 -23 -19 -31 -31 -31 -39 -43 -39 -27 -25 -28 -22 -26 -14 -6 2 20 18 16 30 34 6 -6 4 -4 -5 1 -7 -9 -7 -1 3 1 11 9 13 21 23 29 33 36 40 50 52 54 50 38 22 18 22 8 14 6 12 24 23 17 27 29 35 29 51 39 51 65 47 63 69 75 79 73 42 44 22 22 4 8 0 0 4 -6 -6 -10 -10 -12 -22 -7 -7 -9 -3 9 11 7 7 19 29 29 27 3 -21 -45 -46 -62 -56 -70 -78 -78 -80 -86 -68 -76 -70 -70 -68 -54 -54 -54 -47 -37 -35 -23 -11 -9 -11 -25 -33 -29 -35 -43 -47 -47 -37 -32 -38 -24 -26 -26 -22 -16 -10 6 0 6 18 6 32 22
2026-08-08 04:09:39,54,-77 -92 -86 -94 -89 -91 -95 -91 -84 -78 -82 -67 -57 -55 -60 -42 -24 -32 -29 -45 -43 -46 -66 -64 -64 -55 -57 -63 -66 -50 -64 -54 -45 -33 -37 -34 -22 -18 -5 -1 3 1 14 20 24 21 3 -13 -11 -10 -22 -8 -9 -7 -3 -1 -6 4 14 23 23 39 36 46 56 74 67 79 81 86 92 104 88 75 59 49 46 36 28 33 31 37 31 30 30 12 21 13 11 13 22 18 14 25 9 27 21 30 30 40 53 49 11 10 12 2 -6 -3 -7 -5 -12 -10 -2 2 7 3 9 18 28 30 36 43 41 45 66 58 76 69 69 51 29 36 28 32 37 27 33 29 38 34 36 43 47 57 54 70 64 76 91 89 107 112 108 112 116 93 75 63 40 44 24 20 13 9 5 6 0 4 0 9 -3 -5 -2 -14 -20 -11 -7 -13 -5 -4 -2 4 -3 -17 -31 -45 -54 -58 -68 -61 -69 -67 -62 -70 -70 -70 -67 -61 -67 -56 -40 -42 -10 5 -3 5 12 12 36 24 3 -13 -21 -22 -20 -26 -25 -27 -21 -17 -26 -20 -18 -25 -23 -9 -15 2 10 0 11 13 17 11 32 26 20 3 -15 -41 -48 -42 -50 -44 -51 -53 -53 -60 -48 -54 -64 -65 -65 -73 -68 -66
2026-08-08 04:19:49,55,70 33 9 -20 -16 -37 -25 -18 -22 -11 -7 -36 -24 -37 -17 -10 -18 1 1 16 24 39 51 50 50 81 65 48 4 -25 -29 -53 -38 -42 -15 -35 -32 -40 -33 -29 -22 -14 -23 -19 -8 -4 -1 19 14 42 37 53 48 44 7 3 -14 -38 -62 -55 -23 -36 -44 -37 -41 -30 -30 -23 -35 -16 -20 3 -9 22 10 33 41 40 80 59 19 -10 -22 -23 -43 -19 -4 -4 -13 -25 -18 -42 -43 -11 -20 0 -5 7 -6 10 29 37 32 48 71 63 66 26 -19 -23 -48 -28 -37 -33 -2 -38 -30 -39 -43 -12 -32 -33 -33 2 6 -15 1 24 28 39 47 22 70 73 93 36 16 -9 -33 -38 -30 -27 -31 -32 -36 -40 -25 -41 -18 -14 -7 -27 -8 4 19 11 42 18 33 41 52 60 43 7 2 -30 -11 -15 -24 16 -1 -9 -30 -18 -2 -7 -15 4 8 11 23 46 46 45 53 60 68 83 71 90 58 21 5 -8 0 -5 -17 6 6 -7 1 -3 -12 -24 -13 -9 -6 14 25 37 28 40 39 51 50 62 77 85 8 24 -21 -25 -22 -26 -27 -35 -52 -36 -32 -61 -53 -38 -22 -35 -11 -20 -32 -13 -5 -6 -10 17 21 52 8 -37 -49 -46 -50 -43 -23 -56 -44 -41 -37 -38
2026-08-08 04:28:50,60,18 18 19 20 20 22 24 22 21 18 14 13 10 11 11 10 14 11 10 12 11 11 9 10 8 13 11 11 11 11 11 14 14 13 14 12 9 5 4 5 6 7 2 2 3 4 3 1 3 1 2 1 0 2 1 3 2 4 5 3 4 2 0 -7 -8 -12 -8 -8 -8 -10 -12 -13 -12 -11 -13 -13 -11 -12 -10 -11 -11 -12 -9 -9 -7 -6 -6 -8 -7 -8 -10 -18 -18 -18 -18 -18 -18 -19 -21 -20 -17 -19 -20 -17 -18 -19 -16 -15 -14 -15 -16 -17 -13 -13 -13 -12 -16 -22 -22 -22 -22 -20 -19 -20 -19 -24 -19 -21 -20 -19 -19 -19 -20 -17 -16 -18 -15 -14 -14 -16 -16 -21 -23 -23 -25 -23 -24 -22 -24 -23 -22 -24 -20 -22 -22 -16 -10 3 8 33 40 38 24 8 1 -4 -12 -2 8 14 21 25 22 22 25 31 28 30 26 23 26 27 25 23 24 21 23 22 23 19 19 17 12 11 10 11 13 10 4 3 3 7 2 6 6 4 6 4 6 6 6 5 1 -5 -5 -3 -5 -8 -9 -7 -10 -9 -6 -5 -5 -2 -6 -11 -6 -5 -4 -6 -8 -8 -9 -10 -11 -2 -8 0 6 -8 -6 0 9 -2 -9 -7 2 16 18 -54 -31 47 76 98
2026-08-08 04:37:04,54,-11 -2 0 -4 11 19 18 34 38 41 37 52 48 50 63 63 68 48 42 19 17 12 6 14 13 9 4 6 0 19 11 16 10 14 19 27 21 28 28 43 35 39 58 50 55 53 37 30 18 9 9 -3 -6 -4 -3 -17 -17 -16 -8 -19 -29 -13 -18 -6 -7 -1 -1 2 10 19 7 15 16 -2 -21 -33 -43 -36 -34 -43 -43 -37 -40 -40 -47 -41 -37 -36 -34 -35 -29 -27 -28 -22 -10 -13 -17 -2 -24 -20 -47 -49 -64 -58 -70 -65 -63 -56 -72 -64 -67 -65 -60 -52 -52 -39 -43 -38 -38 -18 -17 -23 -2 -12 -10 -9 3 4 -4 -30 -29 -41 -44 -48 -42 -53 -47 -42 -34 -44 -41 -33 -26 -32 -28 -27 -13 -13 0 -4 3 15 9 24 20 27 33 15 2 -8 -9 -17 -27 -14 -16 -15 -13 -21 -6 -4 -1 1 1 10 20 15 35 29 26 32 43 45 47 52 36 17 11 23 6 16 13 17 17 22 22 14 15 33 22 22 32 49 33 48 48 60 57 57 40 26 18 9 15 6 6 8 5 3 -2 10 4 1 17 26 18 32 25 27 36 44 42 49 21 14 0 -12 -7 -25 -18 -28 -20 -25 -25 -26 -32 -24 -19 -17 -24 -4 -14 -7 5 9 10 6
2026-08-08 04:49:27,60,-81 -76 -70 -66 -61 -54 -45 -35 -35 -29 -25 -16 -7 -4 -6 -7 -7 -9 -9 -10 -9 -9 -9 -11 -21 -27 -26 -19 -11 -8 -4 5 8 11 11 8 6 5 3 1 1 1 -1 0 -2 -1 -1 -1 -1 -1 0 -1 0 -1 -1 -2 -3 -2 -2 -3 -3 -3 -2 -1 -1 0 0 0 1 1 3 2 4 3 3 4 3 3 3 3 4 6 5 6 6 6 7 7 8 8 8 8 11 11 11 13 13 12 13 14 14 14 15 15 15 15 16 16 17 18 17 18 19 18 20 19 22 22 22 23 23 22 23 22 23 22 21 23 23 21 21 21 21 22 21 21 21 21 22 22 22 22 21 21 20 21 19 18 18 17 17 17 16 16 15 15 14 15 14 15 14 14 14 14 14 14 14 14 13 12 10 10 8 7 6 4 5 3 3 3 2 2 2 1 0 2 2 0 1 1 0 1 2 0 -1 -4 -5 -7 -7 -9 -10 -10 -10 -11 -11 -13 -12 -11 -12 -12 -12 -11 -11 -11 -11 -10 -11 -11 -10 -11 -10 -12 -12 -15 -16 -16 -17 -18 -17 -17 -18 -20 -18 -19 -19 -17 -19 -18 -19 -19 -18 -18 -17 -18 -18 -18 -18 -20 -23 -22 -23 -22 -23 -24 -25 -25
2026-08-08 04:59:48,58,24 34 34 49 53 69 65 62 34 4 -8 -19 -17 -31 -29 -34 -38 -32 -33 -29 -41 -25 -32 -20 -18 -14 -7 1 11 13 22 30 34 36 19 -5 -17 -21 -34 -36 -30 -36 -27 -37 -41 -33 -30 -26 -22 -12 -9 13 13 20 30 34 42 49 47 41 13 -18 -24 -30 -40 -41 -29 -23 -35 -30 -38 -30 -22 -17 -17 -13 -3 0 20 16 28 37 43 63 65 52 44 16 -3 -3 -23 -33 -34 -24 -22 -30 -31 -29 -21 -13 -12 -10 -6 -2 1 17 19 33 52 56 60 48 45 23 -3 -9 -18 -30 -26 -34 -29 -27 -21 -34 -26 -28 -16 -19 -15 -7 13 4 14 28 40 41 47 53 33 10 -14 -22 -22 -23 -19 -23 -21 -14 -26 -26 -12 -13 7 1 13 28 22 40 53 51 61 53 56 34 14 -12 -15 -31 -31 -29 -38 -30 -28 -34 -23 -17 -19 -25 -14 2 6 12 37 37 37 51 54 46 42 12 -13 -35 -33 -40 -34 -42 -48 -47 -29 -37 -37 -30 -18 -26 -2 -3 9 13 21 30 40 40 34 17 -1 -21 -25 -22 -34 -30 -14 -23 -17 -19 -23 -12 -12 2 9 15 17 35 48 48 54 54 45 13 3 -17 -12 -26 -16 -28 -11 -19 -29 -23 -22 -16 -4 -4 7 17 15 29
2026-08-08 05:19:49,62,-43 -49 -43 -40 -28 -20 -19 -13 -5 3 4 14 16 34 35 21 -5 0 -28 -20 -21 -13 -19 -17 -18 -18 -14 -10 -13 -5 3 8 20 22 23 47 47 47 56 64 68 56 41 35 11 8 4 -4 -10 -9 -7 -13 -8 -6 -14 -2 3 -1 11 24 26 24 35 41 41 55 64 66 48 28 19 -3 -5 -10 0 -10 -14 -11 -9 -7 -20 -16 2 3 -1 -7 11 22 30 32 32 39 53 55 32 10 -6 -8 -17 -17 -27 -26 -26 -22 -27 -37 -25 -27 -12 -6 10 13 17 33 35 48 46 44 40 27 9 -17 -30 -46 -42 -41 -39 -49 -43 -50 -50 -44 -48 -29 -33 -25 -22 -4 -12 7 13 7 -7 -28 -36 -46 -47 -49 -45 -53 -46 -56 -42 -48 -43 -39 -31 -28 -20 -14 -6 3 11 25 30 22 6 -7 -27 -29 -45 -38 -42 -46 -37 -49 -37 -41 -32 -32 -18 -14 -11 -7 3 14 26 22 35 43 23 -1 -10 -26 -26 -21 -25 -27 -25 -24 -14 -12 -15 -5 -1 -1 0 4 12 25 39 45 35 22 6 2 -3 -17 -17 -7 -12 -12 -10 -9 7 -1 9 6 20 24 33 47 37 57 42 28 28 19 13 9 13 18 20 12 31 9 1 -9 -54 -94 20 87 63 43 53 64
2026-08-08 05:29:48,60,-21 -25 -12 8 4 17 33 50 46 51 -1 -5 -8 -28 -35 -27 -30 -42 -6 -37 -37 -16 -12 -7 -3 -11 -2 18 27 27 15 40 44 73 69 78 42 30 7 -13 -40 -16 -35 -19 -15 -10 -26 -21 -25 -17 -20 16 1 9 6 50 38 35 47 56 48 53 33 17 -34 -30 -41 -33 -49 -24 -4 -39 -31 -22 -42 -18 -17 -9 4 0 29 21 41 50 50 71 59 32 20 8 -3 -43 -30 -18 -34 -13 -13 -24 -20 -15 5 1 2 18 27 39 32 64 76 77 41 22 -10 -6 -9 -17 -12 -8 -31 -35 -19 -38 -18 -17 -21 -13 0 16 13 37 10 34 46 55 51 20 4 -47 -51 -47 -58 -58 -65 -61 -60 -56 -84 -59 -63 -46 -30 -38 -21 -45 -16 -16 1 17 9 30 30 3 -29 -56 -56 -68 -59 -51 -50 -42 -54 -57 -81 -48 -52 -31 -47 -31 -22 -2 -1 15 28 28 44 69 29 30 2 -26 -21 -37 -28 -12 -15 -35 -23 -10 -10 -1 -9 -8 20 12 37 41 66 58 58 79 99 48 20 13 -11 -15 -14 6 -25 -17 -20 -12 -28 -11 -19 -2 -6 11 3 11 28 36 45 45 73 90 98 95 95 68 16 16 -15 -11 -30 -22 -14 -33 -17 -32 -32 -15 -23 -27 -2 22
2026-08-08 05:38:29,82,-83 -73 -69 -65 -76 -70 -44 -37 -31 -31 -33 -15 -16 -15 -12 -19 -18 -19 -24 -31 -41 -43 -28 -25 -14 -13 -13 -13 -13 -10 -8 -7 -7 -7 -5 -4 -4 -3 -2 0 -1 -1 -3 -3 -2 -2 0 -1 0 1 0 3 3 3 4 5 5 4 3 2 3 2 4 3 4 5 6 4 7 7 7 8 9 9 7 7 6 7 7 7 8 8 8 8 10 9 10 13 13 13 14 13 13 13 13 14 15 16 17 17 17 19 19 20 19 20 21 20 20 21 20 20 20 20 21 21 21 21 22 23 22 24 23 23 23 22 21 21 22 20 21 22 20 22 21 21 21 22 24 23 23 23 22 21 22 20 21 21 20 19 19 19 19 20 20 19 20 20 22 21 19 18 18 16 18 16 16 15 16 14 16 15 16 14 15 14 15 14 15 14 13 11 10 9 8 8 7 7 6 5 7 6 5 5 5 4 5 5 4 3 -1 -1 -4 -5 -5 -6 -7 -8 -9 -9 -9 -11 -11 -11 -11 -9 -10 -11 -10 -11 -14 -15 -17 -18 -21 -22 -23 -23 -25 -24 -25 -25 -24 -26 -26 -25 -26 -25 -26 -26 -29 -31 -32 -33 -35 -35 -36 -36 -37 -36 -37 -38 -38 -36 -37 -36
